Attribute,Attribute
Weight,Weight
Installed,Installed
"Not Installed","Not Installed"
"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
"The default Magento LESS functionality is missing for the following website(s): %1. Try to run ssh command ""php bin/magento setup:static-content:deploy"". To add CSS please set ""Include CSS"" setting to ""Yes"".","The default Magento LESS functionality is missing for the following website(s): %1. Try to run ssh command ""php bin/magento setup:static-content:deploy"". To add CSS please set ""Include CSS"" setting to ""Yes""."
No,No
Yes,Yes
"Not installed","Not installed"
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Add to Wish List","Add to Wish List"
"Add to Compare","Add to Compare"
"More products","More products"
"Search Pro","Search Pro"
Information,Information
"Include CSS","Include CSS"
General,General
"Popup width (px)","Popup width (px)"
"Set the width of the autocomplete popup window. Recommended value for horizontal view is 900. To get vertical view please enter 730 and lower.","Set the width of the autocomplete popup window. Recommended value for horizontal view is 900. To get vertical view please enter 730 and lower."
"Min characters","Min characters"
"Enable Redirect from 404 to Search Results","Enable Redirect from 404 to Search Results"
"If option is enabled, customer will be redirected to the store search results of the broken URL text instead of the '404 Not Found' page","If option is enabled, customer will be redirected to the store search results of the broken URL text instead of the '404 Not Found' page"
"Search Attributes","Search Attributes"
"Recent Searches","Recent Searches"
Enabled,Enabled
"Show on First Click","Show on First Click"
Title,Title
Position,Position
"Max Results","Max Results"
"Popular Searches","Popular Searches"
Categories,Categories
"Name Length","Name Length"
"Description Length","Description Length"
"CMS Pages","CMS Pages"
"Content Heading Length","Content Heading Length"
"Content Length","Content Length"
Products,Products
"This setting is ignored for the horizontal popup window.","This setting is ignored for the horizontal popup window."
"Show reviews","Show reviews"
"Enable ""Add to Cart"" button","Enable ""Add to Cart"" button"
"Redirect to Product Page","Redirect to Product Page"
"When there is only one product in result","When there is only one product in result"
"Show ""Out of Stock"" Products Last","Show ""Out of Stock"" Products Last"
"Push ""Out of Stock"" products to the end of the search query list. Show products which are available for purchase first.","Push ""Out of Stock"" products to the end of the search query list. Show products which are available for purchase first."
"Landing Pages","Landing Pages"
"See more details about landing pages <a target='_blank' href='https://amasty.com/landing-pages-for-magento-2.html'>here</a>","See more details about landing pages <a target='_blank' href='https://amasty.com/landing-pages-for-magento-2.html'>here</a>"
"Custom Layout","Custom Layout"
Border,Border
Hover,Hover
Highlight,Highlight
Background,Background
Text,Text
"Hover Text","Hover Text"
"Elastic Search","Elastic Search"
Status,Status
"It optimizes search performance and returns more relevant search results. See more details <a target=""_blank"" href=""https://amasty.com/elasticsearch-for-magento-2.html?utm_source=extension&utm_medium=backend&utm_campaign=search_pro_to_elastic_m2"">here</a>.","It optimizes search performance and returns more relevant search results. See more details <a target=""_blank"" href=""https://amasty.com/elasticsearch-for-magento-2.html?utm_source=extension&utm_medium=backend&utm_campaign=search_pro_to_elastic_m2"">here</a>."
"Amasty: Search Pro - Categories","Amasty: Search Pro - Categories"
"Rebuild fulltext search index","Rebuild fulltext search index"
